Date,maxtempC,mintempC,tempC
02/03/2019,30.832,23.6,30.832
03/03/2019,30.65,23.308,30.65
04/03/2019,29.932,23.15,29.932
05/03/2019,30.376,23.212,30.376
06/03/2019,31.954,23.536,31.954
07/03/2019,32.582,24.452,32.582
08/03/2019,32.63,24.762,32.63
09/03/2019,31.308,24.068,31.308
10/03/2019,30.296,23.224,30.296
11/03/2019,30.034,22.804,30.034
12/03/2019,30.654,22.348,30.654
13/03/2019,30.682,22.254,30.682
14/03/2019,30.746,23.02,30.746
15/03/2019,30.72,23.46,30.72
16/03/2019,30.562,23.468,30.562
17/03/2019,29.708,22.87,29.708
18/03/2019,28.65,22.402,28.65
19/03/2019,29.272,22.928,29.272
20/03/2019,29.568,22.996,29.568
21/03/2019,30.116,22.98,30.116
22/03/2019,30.212,22.896,30.212
23/03/2019,31.136,23.086,31.136
24/03/2019,31.852,23.378,31.852
25/03/2019,34.67,25.526,34.67
26/03/2019,35.564,25.904,35.564
27/03/2019,34.82,25.842,34.82
28/03/2019,36.106,25.164,36.106
29/03/2019,32.182,24.954,32.182
30/03/2019,33.206,24.462,33.206
31/03/2019,31.94,25.368,31.94
01/04/2019,33.158,24.024,33.158
02/04/2019,33.094,24.006,33.094
03/04/2019,33.118,23.96,33.118
04/04/2019,33.74,23.358,33.74
05/04/2019,33.29,23.264,33.29
06/04/2019,33.312,23.182,33.312
07/04/2019,33.51,23.092,33.51
08/04/2019,34.056,23.302,34.056
09/04/2019,34.306,24.152,34.306
10/04/2019,34.646,25.03,34.646
11/04/2019,36.42,27.126,36.42
12/04/2019,36.684,27.364,36.684
13/04/2019,34.89,27.192,34.89
14/04/2019,34.874,27.662,34.874
15/04/2019,35.102,27.794,35.102
16/04/2019,35.632,27.16,35.632
17/04/2019,35.354,26.476,35.354
18/04/2019,36.272,27.466,36.272
19/04/2019,35.476,27.692,35.476
20/04/2019,35.748,26.528,35.748
21/04/2019,35.318,26,35.318
22/04/2019,35.73,25.508,35.73
23/04/2019,35.756,26.568,35.756
24/04/2019,35.146,26.862,35.146
25/04/2019,33.6,26.934,33.6
26/04/2019,33.866,26.924,33.866
27/04/2019,34.636,26.978,34.636
28/04/2019,34.732,27.05,34.732
29/04/2019,35.77,27.644,35.77
30/04/2019,35.952,27.75,35.952
01/05/2019,36.568,27.984,36.568
02/05/2019,36.272,28.616,36.272
03/05/2019,36.364,29.05,36.364
04/05/2019,36.942,29.44,36.942
05/05/2019,36.112,29.064,36.112
06/05/2019,34.194,28.148,34.194
07/05/2019,33.494,28.002,33.494
08/05/2019,33.844,27.922,33.844
09/05/2019,33.998,27.276,33.998
10/05/2019,34.092,27.124,34.092
11/05/2019,34.824,27.794,34.824
12/05/2019,35.034,27.976,35.034
13/05/2019,35.112,27.996,35.112
14/05/2019,35.688,28.002,35.688
15/05/2019,35.91,28.014,35.91
16/05/2019,35.7,28.162,35.7
17/05/2019,37.942,28.922,37.942
18/05/2019,37.656,29.682,37.656
19/05/2019,38.49,29.9,38.49
20/05/2019,38.876,30.234,38.876
21/05/2019,40.276,31.428,40.276
22/05/2019,40.66,31.694,40.66
23/05/2019,40.038,31.082,40.038
24/05/2019,39.472,30.58,39.472
25/05/2019,38.728,29.808,38.728
26/05/2019,38.112,29.316,38.112
27/05/2019,37.268,29.674,37.268
28/05/2019,37.124,29.268,37.124
29/05/2019,38.564,29.764,38.564
30/05/2019,40.818,31.062,40.818
31/05/2019,38.488,30.294,38.488
01/06/2019,35.036,28.566,35.036
02/06/2019,34.942,28.19,34.942
03/06/2019,34.42,28.044,34.42
04/06/2019,34.232,28.126,34.232
05/06/2019,34.24,28.688,34.24
06/06/2019,34.13,28.89,34.13
07/06/2019,34.036,28.968,34.036
08/06/2019,34.224,28.984,34.224
09/06/2019,35.002,29.104,35.002
10/06/2019,36.216,29.64,36.216
11/06/2019,35.284,29.31,35.284
12/06/2019,33.662,29.702,33.662
13/06/2019,33.716,29.218,33.716
14/06/2019,33.31,29.07,33.31
15/06/2019,33.144,29.016,33.144
16/06/2019,33.03,29.002,33.03
17/06/2019,33.05,29.05,33.05
18/06/2019,33.348,29.094,33.348
19/06/2019,33.776,29.07,33.776
20/06/2019,33.876,28.922,33.876
21/06/2019,33.922,28.416,33.922
22/06/2019,34.12,28.902,34.12
23/06/2019,34.608,28.994,34.608
24/06/2019,34.232,28.998,34.232
25/06/2019,34.164,29.022,34.164
26/06/2019,34.688,29.144,34.688
27/06/2019,35.776,29.152,35.776
28/06/2019,35.91,29.342,35.91
29/06/2019,35.752,29.37,35.752
30/06/2019,36.002,29.448,36.002
01/07/2019,34.504,30.106,34.504
02/07/2019,33.794,29.896,33.794
03/07/2019,32.678,29.896,32.678
