Date,maxtempC,mintempC,tempC,Day,Month,Year
01/03/2014,26,16,26,1,3,2014
02/03/2014,26,19,26,2,3,2014
03/03/2014,26,20,26,3,3,2014
04/03/2014,28,19,28,4,3,2014
05/03/2014,27,20,27,5,3,2014
06/03/2014,29,20,29,6,3,2014
07/03/2014,30,21,30,7,3,2014
08/03/2014,31,22,31,8,3,2014
09/03/2014,31,23,31,9,3,2014
10/03/2014,30,22,30,10,3,2014
11/03/2014,29,23,29,11,3,2014
12/03/2014,30,20,30,12,3,2014
13/03/2014,30,21,30,13,3,2014
14/03/2014,31,22,31,14,3,2014
15/03/2014,31,22,31,15,3,2014
16/03/2014,30,21,30,16,3,2014
17/03/2014,28,22,28,17,3,2014
18/03/2014,31,21,31,18,3,2014
19/03/2014,31,21,31,19,3,2014
20/03/2014,29,21,29,20,3,2014
21/03/2014,28,22,28,21,3,2014
22/03/2014,31,22,31,22,3,2014
23/03/2014,30,23,30,23,3,2014
24/03/2014,34,23,34,24,3,2014
25/03/2014,34,23,34,25,3,2014
26/03/2014,35,24,35,26,3,2014
27/03/2014,31,25,31,27,3,2014
28/03/2014,30,24,30,28,3,2014
29/03/2014,29,23,29,29,3,2014
30/03/2014,32,23,32,30,3,2014
31/03/2014,32,23,32,31,3,2014
01/04/2014,31,23,31,1,4,2014
02/04/2014,30,24,30,2,4,2014
03/04/2014,32,24,32,3,4,2014
04/04/2014,33,23,33,4,4,2014
05/04/2014,31,23,31,5,4,2014
06/04/2014,34,25,34,6,4,2014
07/04/2014,34,24,34,7,4,2014
08/04/2014,34,23,34,8,4,2014
09/04/2014,33,22,33,9,4,2014
10/04/2014,33,23,33,10,4,2014
11/04/2014,32,24,32,11,4,2014
12/04/2014,31,23,31,12,4,2014
13/04/2014,31,24,31,13,4,2014
14/04/2014,33,24,33,14,4,2014
15/04/2014,34,25,34,15,4,2014
16/04/2014,33,25,33,16,4,2014
17/04/2014,32,25,32,17,4,2014
18/04/2014,32,25,32,18,4,2014
19/04/2014,33,25,33,19,4,2014
20/04/2014,34,24,34,20,4,2014
21/04/2014,34,26,34,21,4,2014
22/04/2014,34,27,34,22,4,2014
23/04/2014,35,27,35,23,4,2014
24/04/2014,33,25,33,24,4,2014
25/04/2014,33,26,33,25,4,2014
26/04/2014,35,26,35,26,4,2014
27/04/2014,37,27,37,27,4,2014
28/04/2014,37,27,37,28,4,2014
29/04/2014,35,27,35,29,4,2014
30/04/2014,34,27,34,30,4,2014
01/05/2014,34,27,34,1,5,2014
02/05/2014,34,26,34,2,5,2014
03/05/2014,34,26,34,3,5,2014
04/05/2014,35,27,35,4,5,2014
05/05/2014,36,27,36,5,5,2014
06/05/2014,38,27,38,6,5,2014
07/05/2014,37,28,37,7,5,2014
08/05/2014,36,27,36,8,5,2014
09/05/2014,37,27,37,9,5,2014
10/05/2014,35,28,35,10,5,2014
11/05/2014,33,27,33,11,5,2014
12/05/2014,32,28,32,12,5,2014
13/05/2014,33,28,33,13,5,2014
14/05/2014,33,28,33,14,5,2014
15/05/2014,31,28,31,15,5,2014
16/05/2014,33,28,33,16,5,2014
17/05/2014,33,28,33,17,5,2014
